pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/7608192/,20,1787,422,396,2015,9,25,23,48,48
http://movie.douban.com/review/7611932/,30,1327,163,205,2015,9,29,17,25,7
http://movie.douban.com/review/7607703/,20,2197,224,306,2015,9,25,15,16,15
http://movie.douban.com/review/7604130/,40,928,177,106,2015,9,20,23,42,24
http://movie.douban.com/review/7607325/,20,683,228,171,2015,9,25,0,0,2
http://movie.douban.com/review/7608317/,40,402,81,51,2015,9,26,3,58,30
http://movie.douban.com/review/7607820/,20,283,64,52,2015,9,25,16,56,18
http://movie.douban.com/review/7607898/,40,276,27,46,2015,9,25,18,25,50
http://movie.douban.com/review/7614535/,30,79,5,12,2015,10,2,16,9,19
http://movie.douban.com/review/7608127/,30,190,10,13,2015,9,25,22,58,5
http://movie.douban.com/review/7611639/,20,122,12,12,2015,9,29,12,51,54
http://movie.douban.com/review/7608578/,20,122,14,18,2015,9,26,15,5,8
http://movie.douban.com/review/7608600/,40,675,231,142,2015,9,26,15,23,52
http://movie.douban.com/review/7608067/,30,75,19,6,2015,9,25,22,12,30
http://movie.douban.com/review/7608146/,40,85,18,4,2015,9,25,23,14,41
http://movie.douban.com/review/7609966/,40,55,4,2,2015,9,27,22,10,13
http://movie.douban.com/review/7611031/,20,61,9,14,2015,9,28,19,45,53
http://movie.douban.com/review/7609986/,20,78,23,10,2015,9,27,22,17,44
http://movie.douban.com/review/7608480/,40,53,6,6,2015,9,26,12,46,7
http://movie.douban.com/review/7625187/,30,29,2,1,2015,10,13,14,7,1
http://movie.douban.com/review/7689681/,30,23,1,0,2015,12,13,19,13,3
http://movie.douban.com/review/7607451/,20,99,18,9,2015,9,25,9,43,35
http://movie.douban.com/review/7624192/,40,28,2,0,2015,10,12,13,13,46
http://movie.douban.com/review/7609191/,10,56,6,9,2015,9,27,1,12,9
http://movie.douban.com/review/7620237/,40,37,1,0,2015,10,8,12,41,1
http://movie.douban.com/review/7616674/,40,21,0,2,2015,10,4,23,38,54
http://movie.douban.com/review/7620292/,20,41,2,5,2015,10,8,13,51,16
http://movie.douban.com/review/7625620/,30,23,0,2,2015,10,13,22,14,26
http://movie.douban.com/review/7607778/,40,50,5,9,2015,9,25,16,12,43
http://movie.douban.com/review/7624952/,20,35,2,0,2015,10,13,9,32,26
http://movie.douban.com/review/7606761/,30,54,25,6,2015,9,24,10,5,37
http://movie.douban.com/review/7607494/,40,70,25,10,2015,9,25,10,50,53
http://movie.douban.com/review/7619630/,30,16,0,2,2015,10,7,20,2,17
http://movie.douban.com/review/7613217/,30,19,0,0,2015,10,1,0,0,44
http://movie.douban.com/review/7613527/,20,14,1,1,2015,10,1,13,4,44
http://movie.douban.com/review/7608770/,30,11,1,0,2015,9,26,19,19,30
http://movie.douban.com/review/7609151/,10,62,25,21,2015,9,27,0,23,29
http://movie.douban.com/review/7609835/,40,23,4,4,2015,9,27,20,25,50
http://movie.douban.com/review/7607381/,50,138,41,9,2015,9,25,3,14,59
http://movie.douban.com/review/7621235/,30,18,2,0,2015,10,9,13,8,47
http://movie.douban.com/review/7624361/,30,22,9,5,2015,10,12,15,58,46
http://movie.douban.com/review/7609162/,40,50,9,11,2015,9,27,0,44,33
http://movie.douban.com/review/7611050/,30,11,1,1,2015,9,28,20,3,56
http://movie.douban.com/review/7604179/,30,100,24,2,2015,9,21,1,14,10
http://movie.douban.com/review/7608119/,10,23,7,4,2015,9,25,22,53,43
http://movie.douban.com/review/7632965/,40,5,0,2,2015,10,20,11,25,37
http://movie.douban.com/review/7667583/,20,13,0,0,2015,11,22,21,28,45
http://movie.douban.com/review/7612124/,10,7,2,3,2015,9,29,21,33,9
http://movie.douban.com/review/7610729/,20,9,3,0,2015,9,28,14,12,24
http://movie.douban.com/review/7609168/,50,14,4,8,2015,9,27,0,48,42
http://movie.douban.com/review/7612327/,10,5,0,0,2015,9,30,1,36,5
http://movie.douban.com/review/7608729/,30,16,5,0,2015,9,26,18,23,12
http://movie.douban.com/review/7613348/,30,10,2,0,2015,10,1,7,59,2
http://movie.douban.com/review/7616943/,40,4,0,3,2015,10,5,10,57,26
http://movie.douban.com/review/7608340/,50,24,5,0,2015,9,26,8,56,59
http://movie.douban.com/review/7610225/,40,6,2,10,2015,9,28,1,17,7
http://movie.douban.com/review/7608193/,50,32,12,4,2015,9,25,23,49,5
http://movie.douban.com/review/7613287/,20,38,16,8,2015,10,1,1,20,17
http://movie.douban.com/review/7608033/,10,21,12,19,2015,9,25,21,39,22
http://movie.douban.com/review/7608535/,20,22,6,1,2015,9,26,14,5,36
http://movie.douban.com/review/7622528/,30,4,0,0,2015,10,10,17,43,19
http://movie.douban.com/review/7615211/,40,6,0,2,2015,10,3,12,52,2
http://movie.douban.com/review/7611437/,20,6,0,2,2015,9,29,9,41,11
http://movie.douban.com/review/7612429/,30,2,0,0,2015,9,30,9,44,47
http://movie.douban.com/review/7607819/,20,25,10,7,2015,9,25,16,56,18
http://movie.douban.com/review/7599952/,40,65,19,14,2015,9,15,20,34,56
http://movie.douban.com/review/7612194/,30,5,1,0,2015,9,29,22,15,51
http://movie.douban.com/review/7613951/,20,4,0,2,2015,10,1,21,29,7
http://movie.douban.com/review/7610557/,50,15,3,2,2015,9,28,11,24,25
http://movie.douban.com/review/7609221/,20,3,0,0,2015,9,27,2,32,16
http://movie.douban.com/review/7599889/,40,22,4,1,2015,9,15,17,57,58
http://movie.douban.com/review/7611948/,10,3,0,0,2015,9,29,17,43,30
http://movie.douban.com/review/7610394/,30,3,0,1,2015,9,28,9,25,18
http://movie.douban.com/review/7615698/,50,6,2,1,2015,10,3,23,0,39
http://movie.douban.com/review/7610497/,10,23,6,3,2015,9,28,10,42,15
http://movie.douban.com/review/7609427/,10,4,2,2,2015,9,27,12,20,8
http://movie.douban.com/review/7609313/,50,3,1,2,2015,9,27,9,37,38
http://movie.douban.com/review/7609307/,30,3,0,1,2015,9,27,9,27,28
http://movie.douban.com/review/7617149/,40,2,0,0,2015,10,5,15,34,48
http://movie.douban.com/review/7626278/,50,1,0,0,2015,10,14,16,37,39
http://movie.douban.com/review/7608737/,30,2,0,0,2015,9,26,18,30,2
http://movie.douban.com/review/7619624/,50,4,0,1,2015,10,7,19,56,16
http://movie.douban.com/review/7612225/,20,2,0,0,2015,9,29,22,56,20
http://movie.douban.com/review/7610358/,20,8,3,0,2015,9,28,8,26,12
http://movie.douban.com/review/7615669/,40,1,0,0,2015,10,3,22,41,54
