pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/7642110/,50,3663,182,254,2015,10,29,11,5,38
http://movie.douban.com/review/7601046/,40,1366,93,108,2015,9,17,2,10,3
http://movie.douban.com/review/7641958/,40,1159,129,60,2015,10,29,1,24,57
http://movie.douban.com/review/7657995/,30,608,95,113,2015,11,13,22,50,44
http://movie.douban.com/review/7658932/,50,496,61,50,2015,11,14,22,49,0
http://movie.douban.com/review/7667902/,20,409,99,81,2015,11,22,23,47,38
http://movie.douban.com/review/7636325/,40,353,45,17,2015,10,23,19,41,45
http://movie.douban.com/review/7584406/,40,328,52,22,2015,8,29,9,25,8
http://movie.douban.com/review/7643108/,40,208,16,21,2015,10,30,12,35,45
http://movie.douban.com/review/7669052/,40,280,8,27,2015,11,23,22,17,13
http://movie.douban.com/review/7648646/,50,223,22,12,2015,11,4,16,49,48
http://movie.douban.com/review/7599535/,50,471,61,60,2015,9,15,10,52,54
http://movie.douban.com/review/7668260/,10,210,43,31,2015,11,23,11,14,3
http://movie.douban.com/review/7658543/,40,153,14,16,2015,11,14,15,41,42
http://movie.douban.com/review/7599851/,50,245,19,13,2015,9,15,16,57,29
http://movie.douban.com/review/7664596/,50,345,23,24,2015,11,20,10,56,21
http://movie.douban.com/review/7677861/,30,69,11,16,2015,12,1,20,19,0
http://movie.douban.com/review/7643936/,50,102,9,8,2015,10,31,9,43,16
http://movie.douban.com/review/7658956/,50,96,10,9,2015,11,14,23,6,22
http://movie.douban.com/review/7603795/,20,68,13,9,2015,9,20,18,28,52
http://movie.douban.com/review/7578023/,50,174,33,17,2015,8,23,12,51,19
http://movie.douban.com/review/7660416/,50,59,7,2,2015,11,16,12,58,46
http://movie.douban.com/review/7664825/,20,89,14,17,2015,11,20,14,29,14
http://movie.douban.com/review/7659102/,50,56,7,1,2015,11,15,1,21,36
http://movie.douban.com/review/7667540/,40,68,12,30,2015,11,22,21,5,46
http://movie.douban.com/review/7668555/,40,51,4,9,2015,11,23,15,43,28
http://movie.douban.com/review/7665165/,40,59,3,1,2015,11,20,19,59,33
http://movie.douban.com/review/7669278/,50,24,0,0,2015,11,24,0,44,12
http://movie.douban.com/review/7651410/,30,31,1,3,2015,11,7,0,14,17
http://movie.douban.com/review/7589135/,50,111,14,16,2015,9,2,13,29,53
http://movie.douban.com/review/7679976/,40,14,0,0,2015,12,3,22,44,14
http://movie.douban.com/review/7667249/,40,129,29,18,2015,11,22,17,18,1
http://movie.douban.com/review/7658446/,50,59,4,1,2015,11,14,14,3,31
http://movie.douban.com/review/7667501/,40,19,1,11,2015,11,22,20,41,2
http://movie.douban.com/review/7663026/,50,47,2,4,2015,11,18,20,7,2
http://movie.douban.com/review/7689935/,50,16,0,1,2015,12,13,22,4,34
http://movie.douban.com/review/7668205/,10,39,7,8,2015,11,23,10,49,13
http://movie.douban.com/review/7675866/,40,29,0,1,2015,11,29,23,20,58
http://movie.douban.com/review/7667935/,50,23,1,3,2015,11,23,0,11,15
http://movie.douban.com/review/7666427/,20,24,4,10,2015,11,21,22,19,1
http://movie.douban.com/review/7666811/,10,166,68,37,2015,11,22,9,19,6
http://movie.douban.com/review/7645387/,40,28,3,3,2015,11,1,17,25,4
http://movie.douban.com/review/7678815/,50,11,0,0,2015,12,2,19,54,14
http://movie.douban.com/review/7679047/,40,10,0,1,2015,12,2,23,59,19
http://movie.douban.com/review/7667988/,20,27,4,8,2015,11,23,0,58,18
http://movie.douban.com/review/7665938/,10,22,4,10,2015,11,21,15,23,9
http://movie.douban.com/review/7665379/,30,36,8,8,2015,11,20,23,0,31
http://movie.douban.com/review/7677923/,40,12,3,5,2015,12,1,21,20,21
http://movie.douban.com/review/7664354/,40,20,3,5,2015,11,19,23,58,27
http://movie.douban.com/review/7660333/,50,20,1,2,2015,11,16,11,13,21
http://movie.douban.com/review/7674515/,50,19,1,7,2015,11,28,22,10,14
http://movie.douban.com/review/7603009/,50,23,3,6,2015,9,19,17,25,13
http://movie.douban.com/review/7663863/,40,14,3,1,2015,11,19,16,50,50
http://movie.douban.com/review/7665063/,50,19,1,1,2015,11,20,17,47,47
http://movie.douban.com/review/7676301/,40,13,0,1,2015,11,30,13,1,48
http://movie.douban.com/review/7671667/,50,3,0,0,2015,11,26,1,48,45
http://movie.douban.com/review/7689670/,50,3,0,0,2015,12,13,19,2,40
http://movie.douban.com/review/7666569/,40,5,0,2,2015,11,21,23,26,52
http://movie.douban.com/review/7666524/,40,7,0,8,2015,11,21,23,7,8
http://movie.douban.com/review/7676313/,10,6,1,0,2015,11,30,13,13,39
http://movie.douban.com/review/7664384/,50,26,8,1,2015,11,20,0,9,2
http://movie.douban.com/review/7665752/,50,8,1,0,2015,11,21,11,47,44
http://movie.douban.com/review/7579665/,20,26,3,5,2015,8,24,21,8,35
http://movie.douban.com/review/7633426/,40,18,1,2,2015,10,20,17,34,38
http://movie.douban.com/review/7671972/,40,5,0,2,2015,11,26,13,41,40
