pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/6733823/,10,4569,236,280,2014,7,9,23,37,31
http://movie.douban.com/review/6747154/,10,3256,116,339,2014,7,19,17,54,27
http://movie.douban.com/review/6740778/,20,1715,149,262,2014,7,15,15,36,56
http://movie.douban.com/review/6745522/,30,1724,462,250,2014,7,18,21,30,3
http://movie.douban.com/review/6731763/,10,620,79,97,2014,7,8,13,33,55
http://movie.douban.com/review/6718051/,30,751,121,105,2014,6,26,23,42,36
http://movie.douban.com/review/6734037/,10,674,85,92,2014,7,10,8,43,33
http://movie.douban.com/review/6727265/,50,710,36,36,2014,7,5,13,38,58
http://movie.douban.com/review/6744598/,10,354,7,25,2014,7,18,10,46,7
http://movie.douban.com/review/6745078/,40,427,45,51,2014,7,18,15,48,38
http://movie.douban.com/review/6739186/,30,569,19,19,2014,7,14,9,3,46
http://movie.douban.com/review/6749335/,30,96,12,16,2014,7,21,10,36,21
http://movie.douban.com/review/6735063/,10,234,25,73,2014,7,10,21,11,50
http://movie.douban.com/review/6744085/,30,223,13,7,2014,7,17,22,37,56
http://movie.douban.com/review/6743245/,50,487,15,10,2014,7,17,12,52,5
http://movie.douban.com/review/6732492/,10,721,7,14,2014,7,8,22,42,2
http://movie.douban.com/review/6744205/,10,76,9,4,2014,7,18,0,8,22
http://movie.douban.com/review/6740994/,10,60,4,6,2014,7,15,17,34,18
http://movie.douban.com/review/6737452/,10,46,5,5,2014,7,12,18,4,8
http://movie.douban.com/review/6747242/,40,28,4,7,2014,7,19,20,28,26
http://movie.douban.com/review/6748866/,40,31,9,14,2014,7,21,0,1,13
http://movie.douban.com/review/6736387/,20,17,1,2,2014,7,11,21,14,31
http://movie.douban.com/review/6826811/,30,17,1,16,2014,8,17,2,52,8
http://movie.douban.com/review/6771250/,30,190,1,0,2014,7,29,21,54,7
http://movie.douban.com/review/6744118/,30,113,0,7,2014,7,17,22,55,30
http://movie.douban.com/review/6745375/,30,18,0,0,2014,7,18,18,41,14
http://movie.douban.com/review/6744506/,10,21,4,0,2014,7,18,9,56,19
http://movie.douban.com/review/6744917/,30,112,43,20,2014,7,18,14,43,54
http://movie.douban.com/review/6746998/,40,119,8,5,2014,7,19,16,30,5
http://movie.douban.com/review/6764109/,30,188,1,0,2014,7,27,10,59,2
http://movie.douban.com/review/6742790/,50,554,39,7,2014,7,17,0,26,4
