pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/7609941/,10,2654,132,410,2015,9,27,21,50,29
http://movie.douban.com/review/7615229/,10,1461,72,249,2015,10,3,13,19,47
http://movie.douban.com/review/7609733/,10,1083,107,170,2015,9,27,18,13,6
http://movie.douban.com/review/7610049/,10,413,24,45,2015,9,27,22,55,10
http://movie.douban.com/review/7610845/,20,439,17,79,2015,9,28,16,0,24
http://movie.douban.com/review/7614135/,10,199,13,53,2015,10,2,0,7,26
http://movie.douban.com/review/7611526/,10,191,17,18,2015,9,29,11,3,36
http://movie.douban.com/review/7610071/,20,159,16,9,2015,9,27,23,8,57
http://movie.douban.com/review/7629209/,20,51,3,7,2015,10,17,12,14,56
http://movie.douban.com/review/7612358/,10,80,4,11,2015,9,30,3,22,39
http://movie.douban.com/review/7611757/,20,99,21,20,2015,9,29,14,31,1
http://movie.douban.com/review/7613288/,20,43,6,1,2015,10,1,1,25,51
http://movie.douban.com/review/7624200/,20,36,3,3,2015,10,12,13,22,23
http://movie.douban.com/review/7610703/,10,66,7,5,2015,9,28,13,39,21
http://movie.douban.com/review/7630196/,20,30,2,1,2015,10,18,2,47,0
http://movie.douban.com/review/7620259/,10,32,1,0,2015,10,8,13,17,2
http://movie.douban.com/review/7609832/,20,36,8,12,2015,9,27,20,13,21
http://movie.douban.com/review/7667468/,20,22,0,0,2015,11,22,20,22,20
http://movie.douban.com/review/7609766/,20,55,13,11,2015,9,27,18,57,47
http://movie.douban.com/review/7612840/,20,25,2,1,2015,9,30,18,41,28
http://movie.douban.com/review/7662776/,20,24,0,1,2015,11,18,15,37,23
http://movie.douban.com/review/7614546/,10,18,1,7,2015,10,2,16,25,3
http://movie.douban.com/review/7599872/,40,731,186,141,2015,9,15,17,25,42
http://movie.douban.com/review/7622799/,30,13,4,0,2015,10,10,23,8,29
http://movie.douban.com/review/7605919/,20,58,27,12,2015,9,23,9,54,9
http://movie.douban.com/review/7617394/,40,32,10,0,2015,10,5,20,4,45
http://movie.douban.com/review/7610349/,20,21,2,4,2015,9,28,7,56,52
http://movie.douban.com/review/7613201/,30,29,8,2,2015,9,30,23,49,23
http://movie.douban.com/review/7611540/,20,35,8,2,2015,9,29,11,17,1
http://movie.douban.com/review/7618322/,30,13,2,1,2015,10,6,17,27,7
