pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/7696025/,30,194,37,64,2015,12,19,4,25,16
http://movie.douban.com/review/7693987/,50,91,5,30,2015,12,17,11,59,11
http://movie.douban.com/review/7289518/,40,200,45,24,2014,12,26,23,1,20
http://movie.douban.com/review/7698318/,50,44,3,28,2015,12,21,1,29,28
http://movie.douban.com/review/7699628/,40,34,4,27,2015,12,22,1,29,5
http://movie.douban.com/review/7703464/,50,12,0,4,2015,12,25,3,28,1
http://movie.douban.com/review/7697166/,50,19,5,5,2015,12,20,10,16,24
http://movie.douban.com/review/7695359/,50,19,3,17,2015,12,18,15,55,13
http://movie.douban.com/review/7693801/,40,23,5,13,2015,12,17,8,20,25
http://movie.douban.com/review/7694889/,30,29,12,16,2015,12,18,9,10,57
http://movie.douban.com/review/7695637/,50,27,11,4,2015,12,18,20,36,25
http://movie.douban.com/review/7699697/,50,5,0,1,2015,12,22,7,24,33
http://movie.douban.com/review/7697644/,40,6,1,6,2015,12,20,18,6,24
http://movie.douban.com/review/7698300/,50,3,0,0,2015,12,21,1,1,57
http://movie.douban.com/review/7698787/,50,5,0,3,2015,12,21,14,31,56
http://movie.douban.com/review/7698792/,50,3,1,1,2015,12,21,14,33,24
http://movie.douban.com/review/7702682/,40,1,0,2,2015,12,24,15,52,40
http://movie.douban.com/review/7696395/,50,6,2,0,2015,12,19,16,21,42
http://movie.douban.com/review/7696409/,30,7,2,3,2015,12,19,16,45,57
http://movie.douban.com/review/7696224/,40,4,1,0,2015,12,19,12,57,18
http://movie.douban.com/review/7696121/,50,14,6,2,2015,12,19,10,30,35
http://movie.douban.com/review/7705557/,40,0,0,0,2015,12,26,15,19,41
http://movie.douban.com/review/7701841/,50,1,0,1,2015,12,23,21,30,30
http://movie.douban.com/review/7699936/,50,1,0,4,2015,12,22,12,27,43
http://movie.douban.com/review/7700943/,30,1,1,1,2015,12,23,6,24,49
http://movie.douban.com/review/7693778/,50,13,5,7,2015,12,17,3,4,46
http://movie.douban.com/review/7695905/,40,6,3,1,2015,12,18,23,58,26
http://movie.douban.com/review/7699567/,50,0,0,0,2015,12,21,23,53,3
http://movie.douban.com/review/7706483/,50,1,0,0,2015,12,26,23,7,38
http://movie.douban.com/review/7707083/,30,0,0,0,2015,12,27,11,54,31
http://movie.douban.com/review/7700937/,40,1,1,2,2015,12,23,5,9,10
http://movie.douban.com/review/7698700/,30,0,0,0,2015,12,21,13,38,22
http://movie.douban.com/review/7700935/,20,2,1,1,2015,12,23,4,30,16
http://movie.douban.com/review/7697454/,30,2,1,0,2015,12,20,15,37,51
http://movie.douban.com/review/7703216/,50,0,0,0,2015,12,24,23,1,29
http://movie.douban.com/review/7707018/,30,1,0,0,2015,12,27,10,57,36
http://movie.douban.com/review/7707981/,30,0,0,0,2015,12,27,21,8,27
http://movie.douban.com/review/7701236/,40,2,2,0,2015,12,23,12,28,45
http://movie.douban.com/review/7698352/,20,6,3,1,2015,12,21,7,45,9
http://movie.douban.com/review/7702176/,50,7,1,1,2015,12,24,3,31,44
http://movie.douban.com/review/7695889/,40,5,4,3,2015,12,18,23,47,57
http://movie.douban.com/review/7701251/,10,3,3,1,2015,12,23,12,45,34
http://movie.douban.com/review/6536095/,50,28,13,5,2014,2,5,18,42,29
