pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/6135500/,10,9762,510,938,2013,6,26,22,49,32
http://movie.douban.com/review/6135660/,10,3397,153,431,2013,6,27,1,26,14
http://movie.douban.com/review/6129054/,10,2065,271,352,2013,6,21,20,56,41
http://movie.douban.com/review/6150723/,10,1247,26,209,2013,7,6,22,33,18
http://movie.douban.com/review/6161069/,30,1042,91,145,2013,7,14,13,17,21
http://movie.douban.com/review/6138311/,10,673,25,104,2013,6,28,15,54,7
http://movie.douban.com/review/6136199/,10,261,13,43,2013,6,27,14,16,42
http://movie.douban.com/review/6129168/,0,526,131,125,2013,6,21,22,32,36
http://movie.douban.com/review/6143241/,30,267,49,55,2013,7,1,11,49,13
http://movie.douban.com/review/6432561/,10,123,26,57,2013,11,25,13,39,37
http://movie.douban.com/review/6143495/,30,132,4,14,2013,7,1,15,19,16
http://movie.douban.com/review/6139881/,40,161,37,28,2013,6,29,13,36,6
http://movie.douban.com/review/6135644/,30,193,35,61,2013,6,27,1,6,32
http://movie.douban.com/review/6144305/,30,100,4,22,2013,7,2,2,7,11
http://movie.douban.com/review/6135528/,30,2,2,1,2013,6,26,23,14,15
http://movie.douban.com/review/6145948/,10,79,7,30,2013,7,3,12,40,7
http://movie.douban.com/review/6146171/,30,78,20,12,2013,7,3,16,0,33
http://movie.douban.com/review/6135897/,20,80,4,24,2013,6,27,10,39,2
http://movie.douban.com/review/6138635/,50,144,19,41,2013,6,28,19,29,26
http://movie.douban.com/review/6111349/,20,190,55,51,2013,6,18,15,13,33
http://movie.douban.com/review/6135559/,10,3,0,2,2013,6,26,23,40,59
http://movie.douban.com/review/6136556/,10,45,2,6,2013,6,27,17,50,24
http://movie.douban.com/review/6136125/,30,74,6,31,2013,6,27,13,28,43
http://movie.douban.com/review/6135622/,20,47,4,8,2013,6,27,0,43,14
http://movie.douban.com/review/6138371/,20,2,1,1,2013,6,28,16,35,56
http://movie.douban.com/review/6137272/,30,64,10,31,2013,6,28,0,1,56
http://movie.douban.com/review/6148132/,30,88,17,24,2013,7,5,3,16,36
http://movie.douban.com/review/6137236/,10,1,0,4,2013,6,27,23,47,48
http://movie.douban.com/review/6181599/,10,38,0,28,2013,7,25,19,31,2
http://movie.douban.com/review/6136296/,10,80,4,10,2013,6,27,15,6,57
http://movie.douban.com/review/6138721/,30,47,13,22,2013,6,28,20,11,30
http://movie.douban.com/review/6137881/,10,48,3,12,2013,6,28,11,28,18
http://movie.douban.com/review/6135849/,10,33,5,6,2013,6,27,10,12,17
http://movie.douban.com/review/6137521/,10,1,0,0,2013,6,28,6,44,13
http://movie.douban.com/review/6139067/,10,39,1,20,2013,6,28,22,57,29
http://movie.douban.com/review/6152619/,10,48,2,11,2013,7,8,12,38,36
http://movie.douban.com/review/6141044/,40,92,17,28,2013,6,29,23,58,15
http://movie.douban.com/review/6151899/,30,46,2,25,2013,7,7,21,2,34
http://movie.douban.com/review/6137842/,20,42,1,11,2013,6,28,11,11,50
http://movie.douban.com/review/6146236/,30,68,3,21,2013,7,3,16,54,58
http://movie.douban.com/review/6151844/,20,24,0,8,2013,7,7,20,23,12
http://movie.douban.com/review/6143755/,30,34,3,5,2013,7,1,18,23,59
http://movie.douban.com/review/6019122/,30,2,0,1,2013,6,10,3,14,16
http://movie.douban.com/review/6135907/,10,23,2,5,2013,6,27,10,42,56
http://movie.douban.com/review/6135631/,10,2,0,0,2013,6,27,0,47,44
http://movie.douban.com/review/6137325/,40,17,1,8,2013,6,28,0,32,13
http://movie.douban.com/review/6136527/,30,1,0,0,2013,6,27,17,30,2
http://movie.douban.com/review/6137115/,10,41,7,10,2013,6,27,22,55,10
http://movie.douban.com/review/6139323/,10,19,0,4,2013,6,29,1,30,51
http://movie.douban.com/review/6137613/,10,2,0,0,2013,6,28,9,20,39
http://movie.douban.com/review/6136720/,20,1,0,1,2013,6,27,19,59,18
http://movie.douban.com/review/6136744/,10,1,0,0,2013,6,27,20,10,54
http://movie.douban.com/review/6136317/,20,23,2,1,2013,6,27,15,18,32
http://movie.douban.com/review/6145009/,10,38,0,11,2013,7,2,17,28,12
http://movie.douban.com/review/6135920/,10,29,5,18,2013,6,27,10,55,5
http://movie.douban.com/review/6135720/,30,18,1,2,2013,6,27,4,59,43
http://movie.douban.com/review/6152992/,30,13,1,11,2013,7,8,17,27,12
http://movie.douban.com/review/6136834/,30,1,0,0,2013,6,27,20,58,28
http://movie.douban.com/review/6140977/,10,6,0,1,2013,6,29,23,24,45
http://movie.douban.com/review/6140290/,10,2,1,0,2013,6,29,17,41,14
http://movie.douban.com/review/6141201/,10,16,1,3,2013,6,30,0,56,59
http://movie.douban.com/review/6146786/,20,11,1,3,2013,7,4,1,14,12
http://movie.douban.com/review/6140427/,10,2,0,1,2013,6,29,18,58,29
http://movie.douban.com/review/6141438/,10,13,0,3,2013,6,30,2,53,18
http://movie.douban.com/review/6138488/,30,1,0,0,2013,6,28,17,37,17
http://movie.douban.com/review/6171467/,20,16,1,8,2013,7,19,22,45,23
http://movie.douban.com/review/6138287/,10,24,1,8,2013,6,28,15,43,30
http://movie.douban.com/review/6141115/,30,3,0,3,2013,6,30,0,18,47
http://movie.douban.com/review/6136143/,20,19,2,0,2013,6,27,13,36,42
http://movie.douban.com/review/6136537/,10,13,0,4,2013,6,27,17,36,2
http://movie.douban.com/review/6143974/,20,18,1,4,2013,7,1,21,45,24
http://movie.douban.com/review/6142497/,20,1,0,0,2013,6,30,21,33,50
http://movie.douban.com/review/6150872/,20,20,1,9,2013,7,7,0,7,11
http://movie.douban.com/review/6135680/,30,33,4,14,2013,6,27,2,5,31
http://movie.douban.com/review/6135809/,20,4,0,0,2013,6,27,9,26,45
http://movie.douban.com/review/6136611/,10,10,0,7,2013,6,27,18,33,32
http://movie.douban.com/review/6136052/,30,17,2,10,2013,6,27,12,33,28
http://movie.douban.com/review/6138172/,10,7,0,2,2013,6,28,14,33,38
http://movie.douban.com/review/6136784/,10,13,0,0,2013,6,27,20,37,28
http://movie.douban.com/review/6449457/,30,2,0,1,2013,12,5,21,34,23
http://movie.douban.com/review/6141512/,20,6,0,2,2013,6,30,6,36,59
http://movie.douban.com/review/6138784/,10,3,0,0,2013,6,28,20,47,21
http://movie.douban.com/review/6142509/,30,2,0,6,2013,6,30,21,38,25
http://movie.douban.com/review/6140009/,10,11,0,11,2013,6,29,15,6,14
http://movie.douban.com/review/6139934/,0,1,0,2,2013,6,29,14,12,52
http://movie.douban.com/review/6158847/,10,19,1,2,2013,7,12,21,9,12
http://movie.douban.com/review/6136881/,20,3,1,0,2013,6,27,21,22,5
http://movie.douban.com/review/6136505/,20,7,1,12,2013,6,27,17,17,31
http://movie.douban.com/review/6137719/,10,16,1,1,2013,6,28,10,29,23
http://movie.douban.com/review/6160928/,10,13,0,2,2013,7,14,10,31,55
http://movie.douban.com/review/6138797/,40,1,0,2,2013,6,28,20,55,31
http://movie.douban.com/review/6140705/,10,5,1,0,2013,6,29,21,32,42
http://movie.douban.com/review/6150876/,20,3,0,1,2013,7,7,0,7,57
http://movie.douban.com/review/6139247/,10,4,0,0,2013,6,29,0,34,2
http://movie.douban.com/review/6144353/,10,6,0,1,2013,7,2,6,9,24
http://movie.douban.com/review/6145502/,20,7,1,5,2013,7,3,0,1,25
http://movie.douban.com/review/6140253/,30,1,0,0,2013,6,29,17,11,43
http://movie.douban.com/review/6136035/,20,8,0,2,2013,6,27,12,24,16
http://movie.douban.com/review/6078609/,10,27,2,7,2013,6,15,20,33,47
http://movie.douban.com/review/6145065/,20,22,10,18,2013,7,2,18,14,54
http://movie.douban.com/review/6142454/,40,12,5,3,2013,6,30,21,10,0
http://movie.douban.com/review/6136678/,40,1,1,0,2013,6,27,19,31,9
http://movie.douban.com/review/6137448/,10,7,0,0,2013,6,28,2,23,4
http://movie.douban.com/review/6138971/,10,6,0,17,2013,6,28,22,14,16
http://movie.douban.com/review/6138556/,10,6,0,0,2013,6,28,18,30,13
http://movie.douban.com/review/6218909/,20,1,0,1,2013,8,15,23,18,49
http://movie.douban.com/review/6145527/,20,1,0,1,2013,7,3,0,29,14
http://movie.douban.com/review/6142311/,40,1,1,3,2013,6,30,18,50,43
http://movie.douban.com/review/6136251/,20,4,0,0,2013,6,27,14,40,41
http://movie.douban.com/review/6137001/,30,2,0,0,2013,6,27,22,12,9
http://movie.douban.com/review/6138921/,20,7,0,1,2013,6,28,21,53,54
http://movie.douban.com/review/6240206/,30,4,1,0,2013,8,21,17,4,10
http://movie.douban.com/review/7395287/,10,13,0,0,2015,3,3,22,14,6
http://movie.douban.com/review/6139744/,30,1,0,0,2013,6,29,11,53,34
http://movie.douban.com/review/6142329/,30,1,0,0,2013,6,30,19,22,53
http://movie.douban.com/review/6161658/,40,5,1,0,2013,7,14,21,7,46
http://movie.douban.com/review/6139448/,10,1,0,0,2013,6,29,3,31,38
http://movie.douban.com/review/6139444/,20,1,0,0,2013,6,29,3,29,45
http://movie.douban.com/review/6139267/,20,3,0,2,2013,6,29,0,50,14
http://movie.douban.com/review/6137294/,10,6,0,1,2013,6,28,0,13,53
http://movie.douban.com/review/6136430/,10,16,1,2,2013,6,27,16,27,28
http://movie.douban.com/review/6318143/,30,35,10,11,2013,10,8,10,23,21
http://movie.douban.com/review/6143088/,10,15,0,3,2013,7,1,9,51,4
