pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/1007523/,40,251,17,75,2005,10,15,2,14,29
http://movie.douban.com/review/1000449/,50,83,20,19,2005,5,20,19,3,15
http://movie.douban.com/review/2921387/,50,26,0,18,2010,1,8,12,12,34
http://movie.douban.com/review/1530132/,50,12,1,6,2008,10,20,0,13,30
http://movie.douban.com/review/1000783/,50,14,0,9,2005,6,15,17,52,32
http://movie.douban.com/review/4334716/,50,9,0,5,2010,11,3,13,4,13
http://movie.douban.com/review/4538932/,50,5,1,1,2010,12,20,22,42,11
http://movie.douban.com/review/1006526/,30,1,0,0,2005,10,7,21,21,9
http://movie.douban.com/review/1329601/,30,1,0,0,2008,3,18,16,59,52
http://movie.douban.com/review/1000984/,40,7,3,0,2005,6,29,14,44,5
http://movie.douban.com/review/1675181/,40,1,0,2,2009,2,11,4,48,54
http://movie.douban.com/review/1055792/,40,3,1,1,2006,7,3,10,38,46
http://movie.douban.com/review/1165608/,50,1,0,1,2007,6,9,20,44,46
http://movie.douban.com/review/1000978/,40,0,0,0,2005,6,29,1,18,45
http://movie.douban.com/review/1002341/,40,6,3,0,2005,8,11,11,45,2
http://movie.douban.com/review/6661454/,40,1,0,0,2014,5,7,22,41,41
http://movie.douban.com/review/7464995/,40,0,0,0,2015,5,6,10,57,4
http://movie.douban.com/review/1019743/,30,0,0,0,2006,1,10,12,11,40
http://movie.douban.com/review/1096476/,40,0,0,2,2006,12,4,6,4,5
http://movie.douban.com/review/2075804/,50,2,0,3,2009,6,15,15,35,17
http://movie.douban.com/review/2986295/,40,2,0,2,2010,2,9,20,32,32
http://movie.douban.com/review/2029348/,40,2,1,2,2009,5,18,0,9,42
http://movie.douban.com/review/6454714/,40,3,1,0,2013,12,9,18,12,33
http://movie.douban.com/review/2028004/,40,6,1,3,2009,5,17,0,4,1
http://movie.douban.com/review/1124899/,40,0,0,0,2007,2,17,20,4,50
http://movie.douban.com/review/7708453/,40,0,0,0,2015,12,28,0,26,43
http://movie.douban.com/review/6882384/,50,1,0,0,2014,9,6,15,2,17
http://movie.douban.com/review/1000818/,50,0,0,0,2005,6,16,17,33,58
http://movie.douban.com/review/1086828/,50,0,0,0,2006,11,2,1,25,52
http://movie.douban.com/review/5337978/,50,0,0,0,2012,3,9,21,25,43
http://movie.douban.com/review/5036695/,30,0,0,0,2011,7,24,20,20,27
http://movie.douban.com/review/5382816/,40,0,0,0,2012,4,10,14,41,58
http://movie.douban.com/review/4881453/,50,0,0,0,2011,3,28,19,1,15
http://movie.douban.com/review/5176370/,30,1,0,0,2011,11,20,0,44,18
http://movie.douban.com/review/4878024/,40,0,0,2,2011,3,26,15,37,6
http://movie.douban.com/review/4575657/,50,0,0,0,2011,1,11,22,11,4
http://movie.douban.com/review/2900445/,50,0,0,0,2009,12,30,17,12,2
http://movie.douban.com/review/1420280/,30,0,0,1,2008,6,25,21,39,12
http://movie.douban.com/review/1961323/,50,0,0,0,2009,4,13,22,24,5
http://movie.douban.com/review/3409672/,40,1,0,1,2010,7,6,15,16,21
http://movie.douban.com/review/4562244/,30,0,0,0,2011,1,3,19,57,1
http://movie.douban.com/review/3579223/,40,0,0,0,2010,8,22,16,29,22
http://movie.douban.com/review/1262968/,30,0,0,0,2007,12,19,14,58,18
http://movie.douban.com/review/1208467/,50,0,0,0,2007,9,15,19,0,8
http://movie.douban.com/review/1176734/,50,0,0,0,2007,7,6,21,12,5
http://movie.douban.com/review/5532479/,50,0,0,0,2012,8,3,23,42,11
http://movie.douban.com/review/5454119/,50,0,0,0,2012,6,4,22,37,14
http://movie.douban.com/review/7695962/,50,0,0,0,2015,12,19,0,47,48
http://movie.douban.com/review/3148667/,40,1,0,3,2010,4,8,23,11,58
http://movie.douban.com/review/5793814/,50,1,0,9,2013,2,27,17,11,46
http://movie.douban.com/review/1000576/,40,3,2,2,2005,5,28,22,20,29
http://movie.douban.com/review/1598202/,40,2,1,0,2008,12,27,11,7,0
http://movie.douban.com/review/1037054/,30,6,3,0,2006,4,9,23,23,50
