pageurl,score,support,against,replyno,year,month,day,hour,minute,second
http://movie.douban.com/review/7525263/,10,5257,390,589,2015,7,9,18,47,16
http://movie.douban.com/review/6748306/,10,1715,224,404,2014,7,20,17,30,21
http://movie.douban.com/review/7117879/,10,1026,101,136,2014,10,3,16,25,36
http://movie.douban.com/review/7525520/,30,2124,254,437,2015,7,9,23,36,28
http://movie.douban.com/review/7467874/,10,748,75,116,2015,5,9,12,36,39
http://movie.douban.com/review/7529400/,10,234,11,26,2015,7,12,18,56,22
http://movie.douban.com/review/6771842/,30,354,41,49,2014,7,30,2,40,6
http://movie.douban.com/review/7526430/,10,176,20,6,2015,7,10,17,7,45
http://movie.douban.com/review/7228555/,10,287,39,21,2014,12,6,20,58,24
http://movie.douban.com/review/7525673/,10,98,14,3,2015,7,10,8,24,26
http://movie.douban.com/review/7535207/,20,49,6,3,2015,7,16,13,35,39
http://movie.douban.com/review/7537659/,30,40,3,10,2015,7,18,3,21,2
http://movie.douban.com/review/7525258/,10,84,17,6,2015,7,9,18,30,52
http://movie.douban.com/review/7525546/,10,44,7,2,2015,7,10,0,0,20
http://movie.douban.com/review/7531987/,20,24,5,7,2015,7,14,11,15,3
http://movie.douban.com/review/7527220/,10,54,9,10,2015,7,11,8,11,22
http://movie.douban.com/review/7524777/,40,281,20,9,2015,7,9,11,45,17
http://movie.douban.com/review/6820802/,30,213,23,67,2014,8,13,19,16,43
http://movie.douban.com/review/7525805/,10,43,13,5,2015,7,10,10,49,13
http://movie.douban.com/review/7527358/,30,41,7,4,2015,7,11,10,43,31
http://movie.douban.com/review/7530926/,10,24,5,3,2015,7,13,16,0,34
http://movie.douban.com/review/7518328/,30,120,26,3,2015,7,3,22,2,11
http://movie.douban.com/review/7526311/,10,28,4,2,2015,7,10,16,8,25
http://movie.douban.com/review/7525331/,30,71,36,20,2015,7,9,20,35,22
http://movie.douban.com/review/7525620/,10,17,5,2,2015,7,10,2,30,33
http://movie.douban.com/review/7525113/,30,276,22,3,2015,7,9,16,22,20
http://movie.douban.com/review/7529382/,10,17,10,2,2015,7,12,18,42,49
http://movie.douban.com/review/7526364/,40,297,111,32,2015,7,10,16,32,55
http://movie.douban.com/review/7527110/,50,19,7,0,2015,7,11,0,53,5
http://movie.douban.com/review/7530095/,30,14,1,0,2015,7,13,2,29,56
http://movie.douban.com/review/7525042/,40,242,6,3,2015,7,9,15,43,15
http://movie.douban.com/review/7529958/,40,16,3,4,2015,7,12,23,53,12
http://movie.douban.com/review/7535150/,30,12,6,0,2015,7,16,12,54,39
http://movie.douban.com/review/7528822/,10,12,4,0,2015,7,12,11,31,13
http://movie.douban.com/review/7693049/,30,0,0,0,2015,12,16,15,19,14
http://movie.douban.com/review/7530058/,20,9,0,0,2015,7,13,1,5,33
http://movie.douban.com/review/7526832/,30,4,1,3,2015,7,10,22,20,45
http://movie.douban.com/review/7525646/,40,12,2,0,2015,7,10,5,48,28
http://movie.douban.com/review/7530442/,30,5,0,0,2015,7,13,11,31,16
http://movie.douban.com/review/7534656/,30,3,0,0,2015,7,15,23,26,6
http://movie.douban.com/review/7531109/,10,3,1,0,2015,7,13,18,4,19
http://movie.douban.com/review/7563239/,10,1,0,0,2015,8,8,9,56,24
http://movie.douban.com/review/7529708/,30,5,3,0,2015,7,12,22,8,43
http://movie.douban.com/review/7557635/,50,2,1,0,2015,8,3,9,56,52
http://movie.douban.com/review/7531625/,50,4,0,2,2015,7,14,0,3,21
http://movie.douban.com/review/7529887/,30,3,2,1,2015,7,12,23,18,12
http://movie.douban.com/review/7527150/,30,3,0,2,2015,7,11,1,22,40
http://movie.douban.com/review/7535672/,30,0,0,0,2015,7,16,17,51,59
http://movie.douban.com/review/7528586/,40,8,2,0,2015,7,12,1,51,19
http://movie.douban.com/review/7529687/,50,4,3,1,2015,7,12,21,58,24
http://movie.douban.com/review/7528000/,40,10,2,2,2015,7,11,18,39,34
http://movie.douban.com/review/7647025/,20,0,0,0,2015,11,2,22,24,29
http://movie.douban.com/review/7612317/,20,0,0,0,2015,9,30,1,4,13
